4 n. strand road	italian		1
16 n. strand road	italian		1
17 n. strand road	italian		1
164 n. strand road	italian		1
21 n. strand road	italian		1
newcomen bridge	italian		1
annesley bridge	italian		1
howth road	italian		1
malahide road	italian		1
11 2 dorset street lower	italian		1
clongowes fields	italian		1
61 grafton street	italian		1
college green	italian		1
52 grafton street	italian		1
8 ormond quay upper	italian		1
crampton court	italian		1
sycamore street	italian		1
jervis street	italian		1
30 essex street east	italian		1
29 essex street east	italian		1
merchant's arch	italian		1
metal bridge	italian		1
wellington quay	italian		1
42 camden street lower	italian		1
25 bachelor's walk	italian		1
james's street	italian		1
5 dame street	italian		1
35 dame street	italian		1
28 james's street	italian		1
48 james's street	italian		1
2 sackville st. lower	italian		1
12 sackville st. lower	italian		1
carlisle bridge	italian		1
21 watling street	italian		1
27 bachelor's walk	italian		1
31 dame street	italian		1
island street	italian		1
watling street	italian		1
49 fleet street	italian		1
1 bedford row	italian		1
10 bedford row	italian		1
19 ormond quay lower	italian		1
31 mary's abbey	italian		1
christchurch place	italian		1
dame street	italian		1
lord edward street	italian		1
cork hill	italian		1
37 parliament street	italian		1
27 parliament street	italian		1
30 parliament street	italian		1
33 dame street	italian		1
14 nelson street	italian		1
