cumberland street	1		james ii of england
153 pearse street	1		james ii of england
the coombe	1		james ii of england
46 westland row	1		james ii of england
1 lincoln place	1		james ii of england
11 leinster street	1		james ii of england
arbour hill	1		james ii of england
ringsend road	1		james ii of england
hume street	1		james ii of england
nelson's pillar	1		james ii of england
rutland grove	1		james ii of england
blessington street	1		james ii of england
berkely street	1		james ii of england
eccles street	1		james ii of england
phibsborough road	1		james ii of england
finglas road	1		james ii of england
mountjoy square	1		james ii of england
fitzgibbon street	1		james ii of england
north circular road	1		james ii of england
n. strand road	1		james ii of england
newcomen bridge	1		james ii of england
annesley bridge	1		james ii of england
howth road	1		james ii of england
malahide road	1		james ii of england
dorset street lower	1		james ii of england
clongowes fields	1		james ii of england
grafton street	1		james ii of england
college green	1		james ii of england
8 ormond quay upper	1		james ii of england
crampton court	1		james ii of england
sycamore street	1		james ii of england
jervis street	1		james ii of england
essex street east	1		james ii of england
merchant's arch	1		james ii of england
wellington quay	1		james ii of england
42 camden street lower	1		james ii of england
25 bachelor's walk	1		james ii of england
dame street	1		james ii of england
o'connell bridge	1		james ii of england
watling street	1		james ii of england
27 bachelor's walk	1		james ii of england
31 dame street	1		james ii of england
island street	1		james ii of england
fleet street	1		james ii of england
bedford row	1		james ii of england
ormond quay lower	1		james ii of england
mary's abbey	1		james ii of england
christchurch place	1		james ii of england
lord edward street	1		james ii of england
cork hill	1		james ii of england
parliament street	1		james ii of england
33 dame street	1		james ii of england
nelson street	1		james ii of england
60 mount street lower	1		james ii of england
clare street	1		james ii of england
31 merrion square north	1		james ii of england
1 merrion square north	1		james ii of england
wicklow street	1		james ii of england
bridge street	1		james ii of england
sean heuston bridge	1		james ii of england
rory o'more bridge	1		james ii of england
father mathew bridge	1		james ii of england
29 kildare street	1		james ii of england
arran quay	1		james ii of england
o'donovan rossa bridge	1		james ii of england
ormond quay upper	1		james ii of england
wood quay	1		james ii of england
grattan bridge	1		james ii of england
11 wellington quay	1		james ii of england
2 wellington quay	1		james ii of england
granby row	1		james ii of england
merrion square	1		james ii of england
mount street lower	1		james ii of england
haddington road	1		james ii of england
northumberland road	1		james ii of england
loopline bridge	1		james ii of england
sandycove	1		james ii of england
dalkey, dublin bay	1	p	pilgrimage
sandymount strand	1	p	pilgrimage
leeson park	1	p	pilgrimage
7 eccles street	1	p	pilgrimage
windmill lane	1	p	pilgrimage
18 rogerson's quay	1	p	pilgrimage
19 rogerson's quay	1	p	pilgrimage
lime street	1	p	pilgrimage
townsend street	1	p	pilgrimage
26 lombard street e.	1	p	pilgrimage
164 north strand road	1	p	pilgrimage
6 westland row	1	p	pilgrimage
49 westland row	1	p	pilgrimage
31 westland row	1	p	pilgrimage
pearse street	1	p	pilgrimage
cumberland street	1	p	pilgrimage
153 pearse street	1	p	pilgrimage
the coombe	1	p	pilgrimage
46 westland row	1	p	pilgrimage
1 lincoln place	1	p	pilgrimage
11 leinster street	1	p	pilgrimage
arbour hill	1	p	pilgrimage
ringsend road	1	p	pilgrimage
hume street	1	p	pilgrimage
nelson's pillar	1	p	pilgrimage
rutland grove	1	p	pilgrimage
blessington street	1	p	pilgrimage
berkely street	1	p	pilgrimage
eccles street	1	p	pilgrimage
phibsborough road	1	p	pilgrimage
finglas road	1	p	pilgrimage
mountjoy square	1	p	pilgrimage
fitzgibbon street	1	p	pilgrimage
north circular road	1	p	pilgrimage
n. strand road	1	p	pilgrimage
newcomen bridge	1	p	pilgrimage
annesley bridge	1	p	pilgrimage
howth road	1	p	pilgrimage
malahide road	1	p	pilgrimage
dorset street lower	1	p	pilgrimage
clongowes fields	1	p	pilgrimage
grafton street	1	p	pilgrimage
college green	1	p	pilgrimage
8 ormond quay upper	1	p	pilgrimage
crampton court	1	p	pilgrimage
sycamore street	1	p	pilgrimage
jervis street	1	p	pilgrimage
essex street east	1	p	pilgrimage
merchant's arch	1	p	pilgrimage
wellington quay	1	p	pilgrimage
42 camden street lower	1	p	pilgrimage
25 bachelor's walk	1	p	pilgrimage
dame street	1	p	pilgrimage
o'connell bridge	1	p	pilgrimage
watling street	1	p	pilgrimage
27 bachelor's walk	1	p	pilgrimage
31 dame street	1	p	pilgrimage
island street	1	p	pilgrimage
fleet street	1	p	pilgrimage
bedford row	1	p	pilgrimage
ormond quay lower	1	p	pilgrimage
mary's abbey	1	p	pilgrimage
christchurch place	1	p	pilgrimage
lord edward street	1	p	pilgrimage
cork hill	1	p	pilgrimage
parliament street	1	p	pilgrimage
33 dame street	1	p	pilgrimage
nelson street	1	p	pilgrimage
60 mount street lower	1	p	pilgrimage
clare street	1	p	pilgrimage
31 merrion square north	1	p	pilgrimage
1 merrion square north	1	p	pilgrimage
wicklow street	1	p	pilgrimage
bridge street	1	p	pilgrimage
sean heuston bridge	1	p	pilgrimage
rory o'more bridge	1	p	pilgrimage
father mathew bridge	1	p	pilgrimage
29 kildare street	1	p	pilgrimage
arran quay	1	p	pilgrimage
o'donovan rossa bridge	1	p	pilgrimage
ormond quay upper	1	p	pilgrimage
wood quay	1	p	pilgrimage
grattan bridge	1	p	pilgrimage
11 wellington quay	1	p	pilgrimage
2 wellington quay	1	p	pilgrimage
granby row	1	p	pilgrimage
merrion square	1	p	pilgrimage
mount street lower	1	p	pilgrimage
haddington road	1	p	pilgrimage
northumberland road	1	p	pilgrimage
loopline bridge	1	p	pilgrimage
sandycove	1	p	pilgrimage
dalkey, dublin bay	1	said	proverb
sandymount strand	1	said	proverb
leeson park	1	said	proverb
7 eccles street	1	said	proverb
windmill lane	1	said	proverb
18 rogerson's quay	1	said	proverb
19 rogerson's quay	1	said	proverb
lime street	1	said	proverb
townsend street	1	said	proverb
26 lombard street e.	1	said	proverb
164 north strand road	1	said	proverb
6 westland row	1	said	proverb
